M_H,T_eff,log_g,z,Y,i,r
00,13500,g05,941738873915387.4,729364925101169.1,1526915822917215.5,2900421603126947.5
00,13500,g10,1397024211939605.0,1076125057764884.1,2260011328753207.0,4355152342235884.5
00,13500,g15,1811497932735691.0,1391746796866683.0,2931081332066797.5,5716026427682275.0
00,13500,g20,1987708955275057.2,1527912463504734.8,3223684272751032.0,6330979396502847.0
00,13500,g25,2057382519210176.2,1587537032925520.2,3343533904168633.5,6549130016713113.0
00,13500,g30,2124974816668317.0,1646089038170871.5,3472500481058596.0,6819532034635727.0
00,13500,g35,2118837409766989.5,1650753729526655.8,3481334825862375.0,6831354031614478.0
00,13500,g40,2059476755708130.2,1614414513768290.5,3412374262672501.0,6698939566384507.0
00,13500,g45,2097703152868711.8,1653776896501378.0,3511646483650758.5,6899683834202770.0
00,14000,g05,980396055993490.1,758722887640764.9,1598167246869132.5,3048430770421023.0
00,14000,g10,1466429221629859.0,1128052713284991.2,2388258854115173.0,4622543011284937.0
00,14000,g15,1907483438821865.2,1463114286528601.8,3108194973584142.5,6089721408682772.0
00,14000,g20,2096790257730383.0,1608762989437250.2,3425640349926556.0,6760210612715148.0
00,14000,g25,2159559717525426.0,1663144200062138.5,3533553273916400.0,6957221092436221.0
00,14000,g30,2227693913418362.2,1721948180760460.8,3664727112725373.5,7237336983257944.0
00,14000,g35,2222388439750046.2,1727351697686090.5,3675940598448444.0,7251640063239093.0
00,14000,g40,2149367887805836.0,1680684734582719.8,3582792614074645.0,7074938189668257.0
00,14000,g45,2198284086170137.0,1728262552576206.2,3703054624524991.0,7317183684504030.0
00,14500,g05,891693024853616.4,689675389189265.9,1460189237366588.5,2795675142375298.0
00,14500,g10,1422639568702069.8,1092907639370245.4,2331553252110370.0,4531380852017778.0
00,14500,g15,1925493215210090.2,1474266948009561.8,3158044071532552.5,6218048083914822.0
00,14500,g20,2138982953188412.0,1637980064554348.0,3515517136490390.5,6975840897742334.0
00,14500,g25,2223497434463038.0,1709330590572994.0,3661322682525741.5,7239498336100456.0
00,14500,g30,2306322961624625.0,1779274008409457.5,3817266168857659.0,7569866387801891.0
00,14500,g35,2308596628289611.5,1790128966191796.0,3842370387045901.0,7605278132995856.0
00,14500,g40,2226495798191785.8,1736153006436174.8,3733579979579124.0,7395086207302099.0
00,14500,g45,2290852999565207.0,1795641903611695.2,3878213254144361.0,7687449126185795.0
00,15000,g05,935457108266678.5,723320442408533.4,1537573438745294.2,2953083355491749.5
00,15000,g10,1488790062090304.0,1142704273202855.5,2453566377149126.5,4784415770180523.0
00,15000,g15,2023065280822296.5,1546845180371433.0,3339248334590377.0,6600157812291734.0
00,15000,g20,2251276271167040.5,1721092400449180.0,3724393884961801.5,7420308613327126.0
00,15000,g25,2327085678931244.5,1785826747338432.8,3854285124353205.5,7656199672235429.0
00,15000,g30,2410109234700743.0,1855691638887546.5,4012029080700574.0,7995738202776655.0
00,15000,g35,2414222501255289.5,1868237717394384.0,4041851608513389.0,8036279983031502.0
00,15000,g40,2313808526979370.5,1800664464442776.0,3900261613767430.0,7764865477930829.0
00,15000,g45,2393508994195790.5,1871199776718707.0,4074046871759634.5,8114439398422099.0
00,15500,g10,1553458012375993.2,1191334022773144.0,2572969984988179.5,5032672657054081.0
00,15500,g15,2120882120955015.0,1619048831627039.5,3521917745972325.0,6990927837307383.0
00,15500,g20,2354820308023521.0,1796724935446780.2,3917798215495335.0,7848396777373296.0
00,15500,g25,2429208591638836.0,1860864175475047.0,4044889838325463.0,8073026621478229.0
00,15500,g30,2508764693305156.5,1928207035257667.5,4197296597071783.5,8408379432839579.0
00,15500,g35,2506820465946984.5,1936278953901654.5,4216890335860114.5,8424388182704932.0
00,15500,g40,2402127508871444.5,1865474498808711.2,4068834923443290.0,8136219730458786.0
00,15500,g45,2478817762397727.5,1934248911457219.5,4237013726058527.5,8479448777317538.0
00,16000,g10,1624376969561397.0,1245215358128799.2,2701833024689605.5,5297311231807871.0
00,16000,g15,2221121408276766.5,1693922899757391.0,3708949777711787.0,7382760127552094.0
00,16000,g20,2472437525885699.0,1883754512594785.8,4138167828834442.5,8317047205971566.0
00,16000,g25,2536578683609549.5,1939895990726909.0,4245560740551250.5,8508983326282107.0
00,16000,g30,2615380553419383.5,2006499762082456.0,4398199156411805.5,8849356414403956.0
00,16000,g35,2617679090975106.0,2017869180555359.8,4426397127607846.5,8875029883134819.0
00,16000,g40,2489371843969044.0,1929530395083369.8,4235993726188395.0,8508950633792153.0
00,16000,g45,2585440270960831.0,2012548887596201.5,4441300184177977.0,8921746508247332.0
00,16500,g10,1698337470556314.2,1301479309027656.8,2835219670873056.0,5570522233426055.0
00,16500,g15,2342384295882948.5,1784437166538119.2,3931936546112161.5,7849248781049044.0
00,16500,g20,2600407316350577.5,1977813561005833.0,4376446792107580.0,8834665017185108.0
00,16500,g25,2649567846760666.0,2022714877427172.2,4456174412018457.5,8975888535098927.0
00,16500,g30,2719771778388581.5,2082960641642627.0,4594541254917447.0,9297278675504696.0
00,16500,g35,2706749217634738.0,2083323018737758.2,4595461167256177.0,9267502567615064.0
00,16500,g40,2576569361604113.0,1993870117396059.0,4403113442046528.5,8891697528461568.0
00,16500,g45,2661182128873498.5,2069294305252563.2,4588458536495333.0,9275846524138558.0
00,17000,g10,1761221722914327.2,1349448293633982.5,2949325063380679.5,5805301838912811.0
00,17000,g15,2440198322385348.5,1857807783501275.2,4114908085787989.5,8230279640650391.0
00,17000,g20,2723157539177028.0,2068851589533000.8,4607875406701044.0,9325061392869692.0
00,17000,g25,2762090929214644.0,2105352199497185.2,4667743701552611.0,9436996167146400.0
00,17000,g30,2830215481015874.0,2163908336780440.8,4803421412534651.0,9757351462496964.0
00,17000,g35,2825149921284801.0,2170360008178076.5,4820257614561680.0,9749678304571210.0
00,17000,g40,2666370600434874.0,2059728268199449.2,4575722780900748.0,9278980822530690.0
00,17000,g45,2775524791562881.0,2152830495869492.5,4806999751167095.0,9745865816226842.0
00,17500,g10,1859469327251851.5,1424628849503874.0,3121727384477406.5,6153830675757243.0
00,17500,g15,2588133537073261.5,1969336127824977.8,4382526115552620.0,8780460631467894.0
00,17500,g20,2876075761125871.5,2182293956769718.8,4891229766432866.0,9926211389927696.0
00,17500,g25,2889523427844913.5,2198865460668043.8,4905590248475954.0,9964430604191018.0
00,17500,g30,2943125628996601.0,2246437079215853.0,5016309586749366.0,1.0244331739613674e+16
00,17500,g35,2912404947841168.5,2234333321412112.8,4986321538353644.0,1.0147925634458786e+16
00,17500,g40,2755386099716222.5,2125556086354076.5,4746478004682284.0,9677091915795210.0
00,17500,g45,2844345090007547.0,2204668599934132.2,4942640572014434.0,1.0087859032115622e+16
00,18000,g10,1901170207078621.0,1456279046491088.0,3199110826931838.5,6316236549154651.0
00,18000,g15,2684617457962724.0,2041982458970667.5,4562238136605366.0,9154688332151210.0
00,18000,g20,3002072811265074.0,2275858866661869.0,5129124568433163.0,1.0429237345560744e+16
00,18000,g25,3008975813086043.0,2286588638925466.0,5131764288610912.0,1.0456331905311264e+16
00,18000,g30,3058365039851068.5,2330754988751007.0,5235501178750383.0,1.0728264367266322e+16
00,18000,g35,3039347652462360.5,2327167786432845.0,5227063272995218.0,1.0662668036682856e+16
00,18000,g40,2848291385144392.5,2193548915042094.2,4925781750328228.0,1.0079876469344424e+16
00,18000,g45,2966647190531306.0,2293698776255005.0,5176719371747105.0,1.0590526370528566e+16
00,18500,g10,1953263965470107.5,1496062114949785.0,3293278258198080.0,6509780952123352.0
00,18500,g15,2775559118898112.5,2110723687633408.2,4731046952818255.0,9504412746219766.0
00,18500,g20,3131610827402212.0,2372441967746102.5,5372819227078297.0,1.0938126054381104e+16
00,18500,g25,3269921324752110.5,2478347427328432.5,5625825443110743.0,1.1527352161852934e+16
00,18500,g30,3335537659314900.5,2533989013930763.0,5760914762638285.0,1.1869173227289872e+16
00,18500,g35,3123361561723680.0,2388678004901041.0,5389066424719606.0,1.1052995780348118e+16
00,18500,g40,2933414021209542.0,2255879049585088.0,5090671315330442.0,1.0462321441827628e+16
00,18500,g45,3032419752139099.5,2343130223218518.0,5307303515196843.0,1.0919706519359884e+16
00,19000,g10,2018207086170041.0,1545394010609197.5,3409459242356855.5,6747405459452707.0
00,19000,g15,2855840171703642.5,2171011677857375.0,4881470038361002.0,9822014897512056.0
00,19000,g20,3250003469953690.0,2460332740400743.5,5597511798480503.0,1.141584954198854e+16
00,19000,g25,3407149630713759.5,2579438557036218.0,5886960173915962.0,1.2088347713361458e+16
00,19000,g30,3469310482822269.5,2631861443597226.5,6016729236137997.0,1.2427469507756888e+16
00,19000,g35,3259396467192014.0,2488092847072434.5,5648063318386033.0,1.1607950573760712e+16
00,19000,g40,3029964314369672.0,2326402033749470.0,5277837339663553.0,1.0883074392822098e+16
00,19000,g45,3163982112473768.0,2438826940063674.5,5559674983152107.0,1.1463955104539786e+16
00,19500,g10,2040817489571787.0,1562320495625158.5,3453807069938364.5,6840911804242733.0
00,19500,g15,2932886319948863.0,2229065811668381.0,5024861585825547.0,1.0121652992439084e+16
00,19500,g20,3340335770925539.0,2527187507527910.5,5771314327326990.0,1.1785033347100422e+16
00,19500,g25,3524250178586763.5,2664536215728864.0,6112814979989566.0,1.2594587971860408e+16
00,19500,g30,3586301153604584.0,2716684910902375.0,6244392885110639.0,1.2959997901604312e+16
00,19500,g35,3328029987180002.5,2538210240654716.0,5782800603134129.0,1.1959947355382398e+16
00,19500,g40,3103583687984693.5,2380895845785181.0,5420804383221110.0,1.1233979110603852e+16
00,19500,g45,3220327999723291.5,2482756112322659.0,5669920373518801.0,1.176012724344935e+16
00,2000,g00,1079291579281.103,2360747275188.2373,188233177520.0708,16144805176.714605
00,2000,g05,1369169511503.8894,2865826705405.9165,256975437655.71777,24270516719.30627
00,2000,g10,1546245581915.7751,3148819441755.4844,311157721828.1953,29836362107.58011
00,2000,g15,1575208428882.8096,3182421610082.0654,313845817368.5004,30256822213.818394
00,2000,g20,1420063257917.5842,2941300762438.15,265255854397.59064,26662938669.405582
00,2000,g25,1684316981498.5393,3288909307137.505,363640821137.13605,56584008240.77713
00,2000,g30,2047121874133.5598,4096798224476.9067,383601384061.9294,43634510845.7129
00,2000,g35,2228957393417.2153,4162490337210.4443,511676012004.4735,75400576416.87398
00,2000,g40,1200960335157.9392,2376313750011.939,215315062998.3722,23778617760.143547
00,2000,g45,1364880256543.4688,2513481509221.2686,278280421440.7107,43751301816.43208
00,2000,g50,2202353038047.0947,3726043685935.818,495262805337.4109,85501625944.21236
00,2000,g55,2721232042655.203,4266191906494.1377,606047532250.0878,108844798204.63701
00,2000,g60,4345311518604.791,6126470093113.091,1136001297118.8962,191068078582.44788
00,20000,g10,2110656392413914.2,1615238787332023.0,3577891504251034.0,7093088440840911.0
00,20000,g15,3027786793839113.0,2300347975225500.0,5199257016667129.0,1.0487659782019458e+16
00,20000,g20,3456791112868652.5,2613673434852860.5,5991424117628253.0,1.2254857908698796e+16
00,20000,g25,3662016219352304.0,2766096562186984.0,6375492609451065.0,1.3156569840178672e+16
00,20000,g30,3722785311697040.5,2816519126195386.5,6506630686337144.0,1.3530680902804068e+16
00,20000,g35,3472396712046005.5,2643589368470674.0,6059044853069152.0,1.255557818991926e+16
00,20000,g40,3204064475132004.5,2454070597229079.0,5616289056513289.0,1.1674218175708688e+16
00,20000,g45,3360705757949253.5,2584651810494392.0,5939521813579388.0,1.23433284216093e+16
00,2100,g00,1664998272538.4993,3418416329372.22,356112848503.49634,37283911274.334724
00,2100,g05,2072893297547.9429,4031830927125.5605,486055185855.50464,55960515096.24349
00,2100,g10,2297747515244.746,4403067805026.986,552827586952.4519,63387236966.060265
00,2100,g15,2476796074328.5356,4722131587761.71,578108675662.946,61139944390.139435
00,2100,g20,2418480887228.733,4714740456721.99,528361884732.54834,52518392117.22456
00,2100,g25,1775996930279.4587,3308368642606.628,449319289076.7197,70645453046.15456
00,2100,g30,4129697161672.379,7601540642476.5205,997974150188.6039,118167110508.71829
00,2100,g35,4903559747319.503,8908483238665.037,1195292686567.2722,145160016786.18716
00,2100,g40,3231068663235.7393,5934967398665.119,688408886061.2114,84169880669.06863
00,2100,g45,3702389042121.8774,6471974043231.547,817586010112.428,118488089043.74187
00,2100,g50,3357084537985.6934,5563523379099.085,765293797873.7507,123806024554.3527
00,2100,g55,4246352211904.843,6471604554619.722,1000354884044.302,166399315177.7932
00,2100,g60,4369928238671.5815,6253385505114.764,1084821851124.8678,191647599888.23648
00,21000,g15,3294651824325276.5,2500817250009876.5,5682225157028793.0,1.1493599923770036e+16
00,21000,g20,3752864161293047.5,2833598219778108.0,6541541543362392.0,1.343161395537289e+16
00,21000,g25,3962499102459327.0,2987509069174974.5,6944192945424600.0,1.438808446358905e+16
00,21000,g30,4013612963526028.5,3029446643446243.5,7065109944185556.0,1.4766669342159702e+16
00,21000,g35,3747867900081492.0,2844491162476507.5,6571992507175157.0,1.3590588623876418e+16
00,21000,g40,3498342547595946.5,2665538297380164.5,6154043693746734.0,1.2719240176102828e+16
00,21000,g45,3627752071378502.5,2772663480232175.0,6418148625904277.0,1.3269137559635218e+16
00,2200,g00,2214136692774.5244,4367788093738.1865,539375311875.28,65959668888.6933
00,2200,g05,2830093190376.915,5289605179383.3125,748011006936.6284,100086594292.38716
00,2200,g10,3274059957708.503,5867235241689.132,942440872794.6542,130322397630.83221
00,2200,g15,3531834629351.698,6297040929255.095,992097701743.4615,128425248138.24007
00,2200,g20,3744203768998.7305,6822610907684.505,989321935124.0377,114810452110.28838
00,2200,g25,2579004614810.6714,4756111821696.601,649106958631.7308,88404712798.76099
00,2200,g30,4108992686326.9785,7523099775927.683,1016733201662.1218,116588434760.24455
00,2200,g35,4976867175976.159,8984312610493.785,1226031143377.2083,147860409387.59436
00,2200,g40,5394217443939.802,9412690450933.172,1353087916877.851,169094019195.9317
00,2200,g45,6190237171802.672,10309239181116.264,1597048205912.206,213570321180.40485
00,2200,g50,5631759033379.764,9053784939383.508,1399740544339.2798,200395064789.92676
00,2200,g55,5840987349648.224,8750554070697.88,1449677645183.8706,211282742492.48825
00,2200,g60,6189377151419.097,8763341851702.253,1553726868818.2178,252911382902.59256
00,22000,g15,3469661363419534.5,2631590260427748.0,6006624078944450.0,1.217407193877991e+16
00,22000,g20,3991146878371483.0,3010385212200017.5,6990075032628694.0,1.4394545095863916e+16
00,22000,g25,4242212768940299.0,3193658066323185.5,7477468173946743.0,1.5536673369955984e+16
00,22000,g30,4303054656022468.5,3240946652646198.5,7623920211301117.0,1.5988039664370514e+16
00,22000,g35,4051363277415322.0,3066261933277485.5,7154842449388049.0,1.4867889058451866e+16
00,22000,g40,3731901355155489.0,2835507336646275.0,6606063772868778.0,1.3727663650358574e+16
00,22000,g45,3919515323169604.5,2984935634116823.5,6978759017296784.0,1.4501287836603688e+16
00,2300,g00,2799099992194.131,5349099150643.141,753616901701.5433,105678270112.26752
00,2300,g05,3611206201746.7188,6541889403584.871,1053612670907.2311,161636632645.5599
00,2300,g10,4359321258653.727,7578985112635.238,1404581294672.6997,230783236227.21713
00,2300,g15,4850312331854.94,8164558387959.913,1614600481437.4736,264126252978.21933
00,2300,g20,5320658930326.253,8935837756871.363,1748137320063.7253,271703154154.15768
00,2300,g25,3859917041559.197,6618320552535.345,1140601769432.5244,144392894605.29855
00,2300,g30,5426143406213.057,9130828031691.666,1687892803234.6543,247558148613.2902
00,2300,g35,5786697402455.551,10036891231431.04,1618716296081.2673,208094853409.6303
00,2300,g40,5939712822323.901,10272856746752.709,1583909402578.611,214883052024.5813
00,2300,g45,6838220259639.502,11292368671731.0,1864424631967.442,248332127141.63773
00,2300,g50,7811936646792.987,12078695040421.207,2214759469925.848,299068728955.5151
00,2300,g55,7544662680501.64,11005655428400.334,2080565982972.8584,272733093304.41064
00,2300,g60,8103829088224.198,11083947763372.623,2198705758397.9539,299581350633.4307
00,23000,g15,3677521355832677.0,2786607585923611.0,6389240704634182.0,1.2973290202203166e+16
00,23000,g20,4235413625343959.0,3190103403875350.5,7453169650126795.0,1.5404250690276204e+16
00,23000,g25,4543027058380978.0,3418448327999471.0,8040301820609994.0,1.6723979230928472e+16
00,23000,g30,4684028438934326.0,3523263488669452.5,8338270477652971.0,1.7440231921959544e+16
00,23000,g35,4296351582790957.0,3244598440096405.5,7629688422068546.0,1.5930700066351492e+16
00,23000,g40,3973559637322215.5,3011077369514960.5,7074505045340001.0,1.477116960373188e+16
00,23000,g45,4129865657208878.5,3138014738379491.5,7388386783815288.0,1.5435068856930056e+16
